"County","State","Country","Hazards","Action Title","Description","Target Groups","Phases","Links"
"Santa Clara","California","USA","Earthquake; Wildfire","Prepare emergency kit","Stock 3 days of water, food, and first aid supplies.","Adults; Children","Long before: 4; Immediately before: 3","https://ready.gov"
"Santa Cruz","CA","USA","Earthquake; Flooding; Heat Waves; Landslide; Tornado; Tsunami; Storm; Wildfire","Local hazard news","Subscribe to your local hazard news channels on CruzAware, Genesis, X or Facebook.","Adults","Long before: 5; Immediately before: 4; During: 2; After: 1","https://www.scr911.org/general/page/santa-cruz-county-alerts"
"Santa Cruz","CA","USA","Earthquake; Flooding; Heat Waves; Landslide; Tornado; Tsunami; Storm; Wildfire","Local hazard news","Subscribe to your local hazard news channels on CruzAware, Genesis, X or Facebook.","Adults","Long before: 5; Immediately before: 4; During: 2; After: 1","https://www.scr911.org/general/page/santa-cruz-county-alerts"
